"gid","link_id","f_node","t_node","lanes","road_rank","road_type","road_no","road_name","road_use","multi_link","connect","max_spd","rest_veh","rest_w","rest_h","c-its","length","updatedate","remark","hist_type","histremark","geom","min_cost"
7,"3020364600","3020149300","3020150600",1,"107","000",-,두정역서4길,"0","0","0",30,"0",0,0,"0",55.530150301053,"20230519",,,,"MULTILINESTRING ((212988.5471999999 470902.8968000002, 213044.07540000044 470903.3621999994))",6.663618
8,"3020465400","3020138800","3020126600",1,"103","000","1",삼사로,"0","0","1",40,"0",0,0,"0",635.52593974344,"20230519",,,,"MULTILINESTRING ((212677.22169999965 476751.12150000036, 212679.44409999996 476769.80509999953, 212680.53089999966 476789.25989999995, 212693.70069999993 476912.1359000001, 212694.79789999966 476923.2313000001, 212695.90730000008 476933.5036999993, 212697.0307 476950.6768999994, 212695.83910000045 476968.08330000006, 212692.24390000012 476986.82689999975, 212686.17590000015 476998.8686999995, 212679.2248999998 477010.3674999997, 212671.53029999975 477020.97729999945, 212640.2681 477036.8850999996, 212612.34329999983 477039.8657000009, 212595.59910000023 477034.87509999983, 212564.35470000003 477018.61390000023, 212527.5588999996 476997.25510000065, 212508.19170000032 476986.50129999965, 212489.23369999975 476981.22589999996, 212468.95909999963 476978.53830000013, 212437.27290000021 476979.3980999999, 212401.76750000007 476982.10789999925, 212331.57349999994 476987.5521000009))",57.197334
9,"3020220900","3020076700","3020068500",2,"107","000",-,백석3로,"0","0","0",30,"0",0,0,"0",376.888980990094,"20230519",,,,"MULTILINESTRING ((211112.5262000002 469244.3981999997, 211094.29820000008 469160.82579999976, 211085.8975999998 469144.94959999993, 211072.09460000042 469125.78810000047, 211052.89639999997 469111.5203000009, 211037.6336000003 469102.96419999935, 211020.51910000015 469097.22140000015, 211007.87310000043 469096.27610000037, 210963.87210000027 469104.81709999964, 210833.94660000037 469132.3074999992))",45.226677
10,"3020327100","3020084100","3020084000",2,"107","000",-,노태산로,"0","0","0",40,"0",0,0,"0",60.781917159725,"20230519",,,,"MULTILINESTRING ((211362.61170000024 470598.9773999993, 211359.55810000002 470579.78910000063, 211358.36679999996 470538.45409999974))",5.4703727
11,"3020390400","3020145300","3020149600",5,"107","000",-,삼성대로,"0","0","0",70,"0",0,0,"0",153.956187897695,"20230519",,,,"MULTILINESTRING ((212838.53170000017 471156.7394999992, 212992.44290000014 471153.0178999994))",7.917747
12,"3020093200","3020056300","3020057800",2,"107","000",-,월봉로,"0","0","0",40,"0",0,0,"0",128.071070185504,"20230519",,,,"MULTILINESTRING ((210494.61120000016 466246.2084999997, 210500.19350000005 466209.02439999953, 210519.4040000001 466167.4163000006, 210543.13549999986 466129.6052000001))",11.526397
13,"3020300600","3020073600","3020073500",2,"107","000",-,한들3로,"0","0","0",40,"0",0,0,"0",75.270745822037,"20230519",,,,"MULTILINESTRING ((211024.23739999998 470223.4020000007, 211023.52770000044 470298.6693999991))",6.7743673
14,"3020544901","3020185401","3020151100",1,"103","000","1",천안대로,"0","0","0",60,"0",0,0,"0",381.053568229012,"20230519",,,,"MULTILINESTRING ((213003.50040000025 475718.0435000006, 213023.51989999972 475572.58960000053, 213041.12100000028 475411.3666999992, 213051.99820000026 475340.1448999997))",22.863214
15,"2861052400","2860347000","3010027600",2,"101","003","25",논산천안고속도로,"0","0","0",110,"5",0,0,"0",307.398311549735,"20230519",,,,"MULTILINESTRING ((210004.85487213352 451033.39747875533, 210009.96960000042 451061.13969999924))",10.060308
16,"3020091000","3020063400","3020061500",2,"107","000",-,쌍용19로,"0","0","0",40,"0",0,0,"0",46.268817816649,"20230519",,,,"MULTILINESTRING ((210699.49600000028 466084.83220000006, 210659.6649000002 466061.2888999991))",4.1641936
