"숙박시설 이름","주소(도로명)","분류","lat","lon","geom"
소륜호텔 천안 by 아늑,충청남도 천안시 동남구 만남의길 21 (풀하우스),호텔,36.82371,127.16628,POINT (127.1662826538086 36.82371139526367)
천안 오엔시티 호텔,충청남도 천안시 서북구 불당4로 105,호텔,36.811165,127.11132,POINT (127.11132049560547 36.81116485595703)
아늑료칸 요수리구리 호텔,충청남도 천안시 서북구 양지9길 8 (임페라장모텔),호텔,36.811913,127.1399,POINT (127.13990020751953 36.811912536621094)
천안 베니키아 호텔,충청남도 천안시 서북구 양지21길 42(성정동),모텔,36.812416,127.14025,POINT (127.14025115966797 36.812416076660156)
천안 시크릿,충청남도 천안시 동남구 신부3길 29 (신부동),모텔,36.818676,127.16027,POINT (127.16027069091797 36.81867599487305)
천안 명품 DRIVE IN 무인호텔 J,충청남도 천안시 서북구 차돌들길 11-13,호텔,36.796787,127.12803,POINT (127.1280288696289 36.79678726196289)
천안 벨리노,충남 천안시 서북구 양지17길 14 (성정동),모텔,36.811447,127.139496,POINT (127.13949584960938 36.81144714355469)
천안 왈츠,충청남도 천안시 동남구 먹거리11길 18 (신부동),모텔,36.818,127.154526,POINT (127.15452575683594 36.81800079345703)
천안 스위트 ,충남 천안시 서북구 양지17길 5,모텔,36.81107,127.1404,POINT (127.1404037475586 36.81106948852539)
천안 쿨피스 무인텔,충남 천안시 동남구 성남면 종합휴양지로 246,모텔,36.753212,127.22083,POINT (127.22083282470703 36.753211975097656)
천안 호텔 주노,충청남도 천안시 서북구 성정공원5로 63 (리치프라자2),모텔,36.827877,127.14456,POINT (127.14456176757812 36.827877044677734)
천안 라트리 호텔,충청남도 천안시 서북구 성정공원3길 25 (성정동),모텔,36.826397,127.14375,POINT (127.14375305175781 36.82639694213867)
천안 아늑호텔 성정점,충청남도 천안시 서북구 성정공원4길 11 (티롤리아모텔),모텔,36.827183,127.14223,POINT (127.14222717285156 36.82718276977539)
천안 CS플라자 호텔,충청남도 천안시 서북구 성정공원6길 54(성정동),모텔,36.82822,127.14358,POINT (127.1435775756836 36.82822036743164)
천안 스타 무인텔,충청남도 천안시 동남구 성남면 종합휴양지2길 135,모텔,36.752487,127.22222,POINT (127.22222137451172 36.75248718261719)
소노벨 천안,충청남도 천안시 동남구 성남면 종합휴양지로 200,호텔,36.7571,127.22353,POINT (127.2235336303711 36.75709915161133)
천안 노보텔,충청남도 천안시 서북구 천안대로 1340,모텔,36.86075,127.15213,POINT (127.15213012695312 36.860748291015625)
천안 호텔리움,충청남도 천안시 서북구 두정상가3길 21,모텔,36.832123,127.14093,POINT (127.14093017578125 36.832122802734375)
천안 별빛풍경펜션,충청남도 천안시 동남구 목천읍 삼방로 77-13 ,펜션,36.775146,127.23363,POINT (127.23362731933594 36.775146484375)
천안 렉스호텔,충청남도 천안시 서북구 양지8길 10-4,호텔,36.810703,127.139755,POINT (127.13975524902344 36.81070327758789)
천안 성거연두펜션,충청남도 천안시 서북구 성거읍 천흥4길 290-16 ,펜션,36.8651,127.21345,POINT (127.21344757080078 36.8651008605957)
천안 메트로 호텔,충청남도 천안시 동남구 대흥로 241-11,호텔,36.810524,127.147934,POINT (127.14793395996094 36.810523986816406)
천안 유성농장카라반,충청남도 천안시 동남구 북면 납안5길 66 ,펜션,36.861343,127.25482,POINT (127.25482177734375 36.86134338378906)
천안 호텔캄캄,충청남도 천안시 동남구 신부2길 31(신부동),호텔,36.818764,127.15957,POINT (127.1595687866211 36.818763732910156)
천안 이끌림호텔 아모르본관,충청남도 천안시 동남구 봉명로 99,모텔,36.807194,127.13937,POINT (127.13937377929688 36.807193756103516)
