"gid","node_id","node_type","node_name","turn_p","updatedate","remark","hist_type","histremark","geom"
246,"3010089400","101",대한웰다잉협회,"0","20230519",,,,MULTIPOINT ((214753.17640000023 464957.41750000045))
247,"3010092200","104",제1소사교,"0","20230519",,,,MULTIPOINT ((215350.3973000003 460024.4586999994))
248,"3010095200","101",도장리268-7,"0","20230519",,,,MULTIPOINT ((215762.64680000022 461069.6953999996))
249,"3010113700","103",속성변화점,"0","20230519",,,,MULTIPOINT ((222969.2818 465271.64049999975))
250,"3010114200","101",명덕리364-1,"0","20230519",,,,MULTIPOINT ((223280.0329 469529.1662000008))
251,"3010116400","101",신풍리629,"0","20230519",,,,MULTIPOINT ((223704.46609999985 460161.6579))
252,"3010116500","104",납안교,"0","20230519",,,,MULTIPOINT ((223713.78369999956 473003.37289999984))
253,"3010118100","104",사담1교,"0","20230519",,,,MULTIPOINT ((223940.81149999984 470880.60869999975))
254,"3010118700","101",신풍리615,"1","20230519",,,,MULTIPOINT ((223966.7341 459982.7787999995))
255,"3010118900","104",사담교,"0","20230519",,,,MULTIPOINT ((224045.4338999996 471198.51630000025))
256,"3010119300","104",제2운용교,"0","20230519",,,,MULTIPOINT ((224158.43439999968 473488.66860000044))
257,"3010120900","101",백자리551-2,"0","20230519",,,,MULTIPOINT ((224459.1288999999 456568.1155999992))
258,"3010123800","101",병천삼거리,"0","20230519",,,,MULTIPOINT ((226002.05620000046 462993.5847999994))
259,"3010125600","101",한밀교회,"0","20230519",,,,MULTIPOINT ((226635.54729999974 462711.5120000001))
260,"3010127300","101",한신스틸콘,"1","20230519",,,,MULTIPOINT ((227193.5094999997 458448.0410999991))
261,"3010127800","101",발산리311-3,"0","20230519",,,,MULTIPOINT ((227302.0926000001 458622.8848000001))
262,"3010128400","101",유관순생가입구,"0","20230519",,,,MULTIPOINT ((227506.06439999957 462806.9266999997))
263,"3010128900","104",용두교,"0","20230519",,,,MULTIPOINT ((227809.61510000005 461114.8326999992))
264,"3010136100","104",수남1교,"0","20230519",,,,MULTIPOINT ((234504.96439999994 463356.2578999996))
265,"3020002900","102",쌍용동2136,"0","20230519",,,,MULTIPOINT ((211321.98170000035 467893.58019999973))
266,"3020004500","102",안궁리451,"0","20230519",,,,MULTIPOINT ((212867.2951999996 484365.47839999944))
267,"3020007700","102",모전리314-1,"0","20230519",,,,MULTIPOINT ((217142.8875000002 477799.3660000004))
268,"3020009100","102",왕림리301-29,"0","20230519",,,,MULTIPOINT ((209042.66669999994 480036.61879999936))
269,"3020011100","102",삼은리75-3,"0","20230519",,,,MULTIPOINT ((213448.64049999975 475786.1096000001))
270,"3020011300","102",삼은리72-29,"0","20230519",,,,MULTIPOINT ((213635.89499999955 475752.1952999998))
271,"3020013700","102",두정동38-8,"0","20230519",,,,MULTIPOINT ((213725.5390999997 469933.27710000053))
272,"3020016200","101",차암동521,"0","20230519",,,,MULTIPOINT ((209466.3470999999 471660.31069999933))
273,"3020016700","101",차암동527,"0","20230519",,,,MULTIPOINT ((209111.07739999983 471327.0343999993))
274,"3020017100","102",신갈리288,"0","20230519",,,,MULTIPOINT ((210076.57050000038 473184.8975000009))
275,"3020018000","102",부송리152-21,"0","20230519",,,,MULTIPOINT ((211572.64489999972 475449.52449999936))
